ROW,FIELD,id,acylcarnitine_15_3,BMP_37_7_15_1_22_6,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_022,CSH_posESI_027,CSH_posESI_041,CSH_posESI_288,CSH_posESI_296,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_33_3_15_0_18_3,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_34_4_16_1_18_3,DGDG_34_5_16_2_18_3,DGDG_35_3_17_0_18_3,DGDG_35_5_17_2_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_4_18_1_18_3,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_38_3_d18_2_20_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3 ,lysoPE_18_2,lysoPE_18_3,MGDG_34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_6_18_2_18_4,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_16_0_9_0_CHO ,PC_32_1,PC_32_2,PC_33_2,PC_34_0 ,PC_34_1,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_36_1,PC_36_2 ,PC_36_3_A ,PC_36_3_B ,PC_36_4_A,PC_36_4_B ,PC_36_5_A ,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_2,PC_38_3 ,PC_38_4_18_2_20_2,PC_38_5_A ,PE_32_0_16_0_16_0,PE_34_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_4_16_0_18_4,PG_34_5_16_1_18_4,PG_36_7_18_3_18_4,plasmenylPC_35_2_P14_0_21_2,plasmenylPC_36_2_P14_0_22_2,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_34_2_16_0_18_3,SQDG_34_3_16_1_18_3,SQDG_36_2_18_0_18_3,SQDG_36_4_18_2_18_3,SQDG_38_5_18_3_20_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_49_2 ,TG_50_2,TG_50_3,TG_50_4 ,TG_50_5,TG_52_3 ,TG_52_4,TG_52_5 ,TG_52_6,TG_53_4 ,TG_53_5 ,TG_54_1 ,TG_54_2,TG_54_4 ,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4
2036,high,LANMLR17B098,346135,37161,28741,9559,19266,224556,60733,27005,13599,161708,21698,12333,122908,186106,140638,219383,11302,19857,98414,239295,12540,42580,4813,79279,1017,30400,131521,66786,20004,86698,43584,63939,222147,64129,8667,171807,2313651,1090027,83020,22883,23723,222603,694874,62415,19430,24826,105559,49979,57454,644978,22087,35621,43089,30584,35007,44356,107959,11353,1107963,2626133,70452,14150,130330,47275,948724,691213,687721,2571275,11294,3393987,43589,1030194,25487,64828,98219,17728,6542,687256,12714,154217,37100,212465,272185,531990,846174,24703,5912,6002,554885,28441,7863,11310,17586,670284,8097,39387,767660,5619,723509,115481,9212,485736,135305,17075,27917,15610,868936,1248581,13401,13657,16011,26389,3887,161651,15218,219530,1457408,11208,31392
2037,high,LANMLR17B053,404788,35325,16463,18211,34460,1263903,201136,35853,4539,35862,5670,17310,35103,157797,371521,427220,17269,30179,11418,321176,56783,53243,3549,66912,7999,0,10950,12757,29042,0,22397,98517,59201,266766,9006,31175,554660,21988,120327,29344,18688,126607,14386,87805,3283,25670,122374,16652,79224,1624812,51169,57903,0,50109,0,0,223459,8103,651787,1211208,62012,264,46515,23534,249897,88625,357754,1367444,11382,6641408,68411,27101,3816,21096,0,22604,219513,118401,7498,39772,20919,293239,241217,772028,1176526,31759,12745,19449,135839,13453,35622,25114,40631,4720255,29261,111887,1282534,18169,11758,214281,4796,353968,17118,3351,11367,12902,159107,250483,35838,2059,2503,20806,5629,15503,11435,96801,1075301,1650,37127
2038,high,LANMLR17B012,331045,21675,42827,24019,14818,405211,108416,24702,17738,111457,12620,10303,91862,216098,173347,398056,7619,11118,119410,1576275,67764,48122,11279,93121,15981,30120,188636,549743,26187,132812,87638,221946,391437,59846,11824,122075,1294524,576859,48281,16101,28160,293446,1327114,57749,11354,44613,185478,41859,54829,511709,34180,34709,67935,20944,26818,29355,82074,10178,673695,2036574,49383,11772,102859,32548,578475,463242,465422,1854204,6118,2449649,33639,756947,19450,37523,59251,18803,133484,428717,18545,101591,21607,146750,198195,363980,795081,14389,7005,28015,912140,24991,21543,33697,32011,3060195,17532,239106,1159499,17451,1901184,172132,8606,285941,111053,24556,17981,12379,626313,907122,19287,9990,12010,15514,2264,117905,11834,187110,1149171,6778,20048
2039,high,LANMLR17B112,325210,20657,35697,23150,14449,346297,119331,21564,38131,108954,14236,8833,78854,254264,263652,279889,8810,8104,80033,709023,38060,42578,11077,118089,11752,31665,121175,225612,19729,136514,56799,187308,294349,119065,27544,148190,2217868,1207619,63503,20745,14499,171462,924593,53192,31817,49456,158736,40674,58045,487436,45083,31307,75990,17034,21658,26070,61438,9977,587436,2599781,47424,9227,100370,28407,535421,464445,594927,2031825,5715,3036543,40289,1124948,17249,40266,60758,19820,122789,468155,24246,131047,23485,146538,196158,385332,839132,16395,8023,22977,674686,18249,23640,28921,33572,3014609,15440,267738,940869,20423,1549207,115052,5647,266670,80829,10752,14984,9255,497206,769277,14656,8666,10109,14295,2134,90839,8997,137911,1177905,6469,18533
2040,high,LANMLR17B122,239268,29696,20142,18148,12889,241060,92228,20728,11490,117296,17895,10431,83730,146802,140960,314836,9628,14066,77509,342888,24566,40412,4953,96980,6923,28330,100393,155186,18617,109400,41098,71962,194407,37224,6601,130712,1007688,508700,48693,15289,18932,174831,984326,61616,33702,37551,105631,44885,57202,561706,52182,25285,82196,20956,25092,30651,91045,10164,794247,3719879,63017,11413,105649,33218,701666,581722,568910,3260440,18758,4079548,74008,1290972,22470,46545,77365,14217,54393,570884,11995,149488,26520,175061,240068,449962,1124519,18547,7962,8493,464726,27836,26607,7880,23444,2036386,9750,94387,612913,4744,1322782,101453,7972,331787,94693,11506,19801,10516,597219,863836,11612,9716,11916,20918,2653,109647,11178,151600,1016458,7922,22569
2041,high,LANMLR17B062,317764,18956,43910,27793,13778,323810,80521,22235,20108,114938,17183,8846,77850,173676,185257,380085,9813,9297,82688,1201921,60076,42923,12240,128103,10410,35004,136089,256739,25651,142055,94850,215460,395150,75773,12078,107650,1669487,802765,48129,11759,18700,261924,1576211,57904,9969,55488,186811,56050,67344,734628,48047,38327,91005,16181,18331,25421,62872,10829,569140,1912493,45966,9735,88840,27278,493313,379634,403400,1578614,5319,2321474,29360,737575,18695,36782,51683,21931,142440,381661,13471,95106,18832,145873,207598,348773,874282,16357,9300,24341,917987,29241,21310,39055,38091,3366323,22080,307862,1209031,21161,1973604,128379,5487,246301,120657,9042,14926,10127,559667,847858,6286,9967,8989,13904,1973,94563,9184,140036,1014620,6232,18091
2045,high,LANMLR17B111,484444,32027,37503,13997,23671,303791,170197,27226,22654,155978,21296,11971,125294,229266,163695,248561,10639,13824,91632,364175,18963,42371,6643,85568,5483,30390,123613,112174,19958,95253,57052,175702,282621,56365,8109,201834,1697076,873941,62807,20089,23759,215557,758687,54173,28509,19098,112804,38469,57726,600477,23514,34470,39167,27938,30662,41773,180667,12997,920040,2521836,61804,14178,126857,42837,774619,682530,602604,2635160,8889,3201410,45540,989449,24460,56274,89091,18202,54955,594912,12048,132795,31648,195423,249228,492541,892647,24607,8306,20829,674100,27428,18623,14800,34508,1788696,14648,97896,800219,6957,1175173,125489,8689,414488,118080,16403,23773,14484,759581,1095078,12775,12358,13358,25027,3316,140481,14323,202729,1350720,10360,28519
2046,high,LANMLR17B091,424058,25961,54628,22916,26730,435680,80075,25046,34686,138688,23159,14773,131369,298512,217926,307567,6809,10941,94513,590624,28362,52837,12202,108665,14611,36580,105901,224586,12478,125914,122467,64316,508916,110203,13913,161055,2576828,641368,57026,12956,17450,197241,1033480,71255,48519,52626,137796,48216,60051,500600,41995,31818,64885,17673,23334,30473,79022,10572,654185,1922754,49873,12607,102000,27795,568660,455988,418769,2253622,5947,2557441,32394,666736,19258,39980,64626,19691,290472,458757,20772,100993,29221,175108,206673,411773,1117316,13973,13749,42041,1188828,27419,23605,27711,31796,3155695,17007,167041,1000172,19115,1412629,140237,6331,277374,88150,10199,22549,11520,607220,846769,12124,8524,12161,15319,2198,105041,10443,153273,1028378,7676,19941
2047,high,B73,223201,21358,31470,9932,11943,329835,80640,22181,30064,108553,19455,8770,94100,202329,138257,306037,9115,10274,75205,630097,47051,42123,9699,78311,10230,28835,105193,225644,20365,137572,52293,140412,256409,86848,12700,143333,2852359,982274,69450,13727,17366,187607,1109747,66983,37505,39781,142365,42304,61089,472631,53949,34444,82192,17825,24490,34735,81882,9504,663566,2551854,62690,11730,96650,28328,598323,511635,498922,2597937,16576,3119408,41722,853042,15570,40097,68752,20724,144205,507723,19152,123350,23168,173725,231134,448411,1201978,17715,10693,17056,606263,25697,24320,18816,26483,2866234,14491,215120,465183,17869,1358316,138668,6948,278732,84250,11848,19635,9796,537775,780326,10439,8742,10177,17010,2220,98790,9887,140256,941521,7809,19430
2048,high,LANMLR17B152,219858,22342,30183,12286,14334,290789,100096,28874,24273,97802,11846,8492,78843,175680,134605,395406,6510,10031,74883,598525,33176,40894,10984,78871,12172,29055,96315,227119,19823,134792,61296,128357,259469,70622,13118,170303,2941532,1435543,42154,19072,17349,180337,960243,61354,37858,35001,149329,52100,53931,406789,45767,29981,75543,23567,24533,33066,59706,10325,598899,2470383,49597,10776,88511,22852,533492,500722,462985,2344324,5258,3038928,37971,1039755,20307,36929,57647,17196,74536,419594,15191,113963,18275,155298,205512,388094,840403,15566,7347,22650,602593,30895,20641,31403,35421,2735252,17011,183867,900041,16439,1736167,124535,11129,244052,69213,19143,23720,15351,669207,838800,19739,11938,12667,48029,1915,171235,17812,212056,1091013,15869,17178
