ROW,FIELD,id,acylcarnitine_15_3,BMP_37_7_15_1_22_6,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_022,CSH_posESI_027,CSH_posESI_041,CSH_posESI_288,CSH_posESI_296,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_33_3_15_0_18_3,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_34_4_16_1_18_3,DGDG_34_5_16_2_18_3,DGDG_35_3_17_0_18_3,DGDG_35_5_17_2_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_4_18_1_18_3,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_38_3_d18_2_20_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3 ,lysoPE_18_2,lysoPE_18_3,MGDG_34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_6_18_2_18_4,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_16_0_9_0_CHO ,PC_32_1,PC_32_2,PC_33_2,PC_34_0 ,PC_34_1,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_36_1,PC_36_2 ,PC_36_3_A ,PC_36_3_B ,PC_36_4_A,PC_36_4_B ,PC_36_5_A ,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_2,PC_38_3 ,PC_38_4_18_2_20_2,PC_38_5_A ,PE_32_0_16_0_16_0,PE_34_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_4_16_0_18_4,PG_34_5_16_1_18_4,PG_36_7_18_3_18_4,plasmenylPC_35_2_P14_0_21_2,plasmenylPC_36_2_P14_0_22_2,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_34_2_16_0_18_3,SQDG_34_3_16_1_18_3,SQDG_36_2_18_0_18_3,SQDG_36_4_18_2_18_3,SQDG_38_5_18_3_20_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_49_2 ,TG_50_2,TG_50_3,TG_50_4 ,TG_50_5,TG_52_3 ,TG_52_4,TG_52_5 ,TG_52_6,TG_53_4 ,TG_53_5 ,TG_54_1 ,TG_54_2,TG_54_4 ,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4
3565,low,LANMLR17B072,148846,30379,27837,6922,24856,178788,32402,12619,18347,121468,13416,8107,78633,194991,124358,189108,9204,10447,67802,577761,37787,40000,10481,94231,8993,29348,104610,190052,20268,103903,53091,109798,251987,56423,11338,182237,3273560,1444554,83336,20594,12778,165451,907089,45239,42942,31213,133183,39989,55778,366449,37985,27571,53942,20752,19016,29510,82640,13893,634079,2688411,45096,9153,62853,42854,706689,463699,516248,2440747,16203,3290297,36859,857782,21250,31337,52277,17599,1490,548013,9894,133619,14233,163388,259223,410758,1260379,18214,10928,15669,584277,159,16079,33258,44879,1589463,19259,191219,1009270,11320,1010103,151174,6767,193190,100910,12776,21201,5827,849438,1097951,19297,13049,14802,5591,1491,126177,8882,231851,1877896,8275,15896
3566,low,LANMLR17B065,261654,9568,40813,12014,20895,320230,77265,19144,20474,134237,16477,9433,83828,277336,193869,307531,7942,10673,87136,625732,44676,70122,11994,99266,11609,36374,101233,280365,21754,151067,67066,211663,385554,82557,13700,242457,3082778,706953,121195,40535,14681,179707,1329212,75691,51049,52618,154392,37215,81056,374086,51034,42860,121482,15376,25851,23707,31219,12586,437958,2693706,45471,8934,57544,11274,312590,241911,178988,1935765,18515,2804244,35003,902625,14578,27677,56016,21567,61077,381015,8012,84526,13614,236236,321552,340450,1505966,17864,19609,22501,787211,34255,23901,13571,22774,2449042,21387,198820,1116576,19100,1560161,116654,10435,250468,111612,16983,28754,5272,760907,1224267,26873,8998,11485,12922,1733,80254,8502,139959,1141592,5886,33151
3567,low,LANMLR17B026,312756,19293,33986,16794,32336,366299,62184,17913,24437,103075,18023,10757,93896,258409,195452,141565,4904,7109,73074,811328,31376,36066,10367,56982,10390,28211,117214,228928,14834,94273,63574,153584,303924,65648,9374,181255,2904864,980067,56937,17062,12847,196939,1318371,50233,10453,41473,95169,18277,65798,450868,40897,21135,54103,18920,22554,34763,45925,7079,497331,2852463,41569,8890,92627,16337,365074,334003,209862,2646576,20890,3333246,49030,821823,15393,22938,45562,16107,72192,416685,10998,86325,12804,108553,161505,329634,1002527,18216,13475,18906,632954,29442,21874,13319,29497,2373075,15320,152256,972239,12039,873056,211792,11732,248308,103362,16099,29518,6627,842430,1196047,24076,12108,13744,14236,1764,106317,12079,161814,1586586,6089,23359
3568,low,LANMLR17B120,326102,13945,32676,8522,26562,323545,88813,17839,14129,120513,18030,13642,92978,269660,179792,289170,5093,9670,78747,619854,30120,41598,10002,63015,10413,28457,95559,203560,17983,112068,55560,106121,279765,94812,10312,170491,3668767,1471127,50558,13993,15874,187374,1267734,50177,33986,39644,73701,23813,55351,336567,39379,31806,73333,22756,23904,29671,49110,8113,543426,2841106,51485,8594,87207,12914,326284,398819,192716,2121086,14700,2955838,42523,844854,16145,30062,60801,14941,53373,333186,10934,75185,11071,108005,183381,334572,1114411,14775,13285,20777,621018,26191,19559,5604,13387,2298482,11095,118232,667470,13547,1180443,117314,5415,237786,103954,14900,24312,8696,795654,1097534,23360,11611,11852,10159,1485,85876,10612,161766,2210122,5758,10658
3569,low,LANMLR17B144,240307,16165,33542,15036,32435,249290,58986,56597,33046,151750,21949,15533,140851,257944,153538,256392,8042,11791,88123,526984,40658,50351,10169,79181,9169,31235,96010,206204,15752,115453,64735,72478,330132,86595,14564,272639,2669286,671658,25306,7170,18040,185857,1198563,54949,44358,41049,132066,55479,42646,507222,42642,23956,67272,24118,24739,26784,88599,13008,824167,2527914,45083,12531,76298,49788,580009,630385,424122,2468468,19782,3168848,35912,804707,22052,35080,55576,15304,55141,254429,8123,53722,7773,160928,248839,411623,1151017,24641,13406,17903,800855,33632,15046,12762,26225,2272712,12748,150407,915436,13775,1111586,101626,5976,226957,103155,16553,25314,10907,741962,1065393,20615,9306,12491,26598,1692,135201,11947,190627,1577039,9916,23173
3570,low,LANMLR17B012,252070,34209,29091,9763,16284,295683,69070,16229,8037,99150,14239,7316,68996,179214,160483,308767,6435,8549,91254,792332,35257,49436,10583,61148,11239,31811,93009,231074,17133,136282,54020,58325,237323,58548,7044,154028,2553889,968568,28184,8454,20017,296142,1350031,57958,34844,35728,88070,29742,83422,587489,45878,31490,90746,26869,17740,32865,44972,7261,606832,3282031,55107,8487,76069,17280,361307,446926,306045,2739610,25747,3663266,40530,928842,17314,28579,57729,18320,64136,363877,4204,96760,16037,103305,204733,363581,1357232,14476,13026,13490,552430,25757,22169,8739,20196,2207724,11617,145813,988749,15101,1354847,152338,6246,253175,105155,13503,25294,5490,460345,743474,18724,6016,7578,13325,1769,63796,6325,119451,603204,6097,15510
3571,low,LANMLR17B027,240981,25140,28195,12663,26793,359923,56819,13796,15927,136086,17827,12688,95042,208660,177298,190299,5518,9337,75017,605163,32569,50040,10003,80881,12542,30967,96094,213904,21918,143397,49924,110895,231014,62955,8275,141624,1977589,793023,27089,8124,15368,205145,1337409,55718,40257,48215,126385,40246,87559,278965,51603,36309,102323,18604,22808,34810,105311,8418,538655,3183096,67594,8540,101681,18798,525969,415964,555931,2870479,23799,3661140,67319,919318,21643,30302,73439,25562,63971,572612,15594,160486,26662,162058,247315,392718,1487592,15479,13956,15139,535957,30534,22590,11631,22151,2436193,11791,157938,832830,14505,1046330,90204,10090,252279,119801,14186,25429,5406,718273,1208319,30858,9774,12498,14225,1807,82276,8878,119842,1195652,6091,20291
3573,low,LANMLR17B149,247088,18892,38142,21946,41770,359728,170751,51429,41257,215609,16289,13833,113148,360784,211672,228057,7057,10077,91565,898900,19431,31987,1549,75760,1996,24368,127013,198081,22549,90958,67450,203901,344281,55518,18039,146399,1221403,710233,86246,33047,17577,190773,908182,35531,23302,32730,130508,38377,42459,336115,23678,27264,40131,26556,20483,22987,43116,16716,616840,1468510,32096,9937,58666,41015,522159,390882,435865,1492841,5797,1653314,30935,581303,17184,37403,52304,13126,10126,614307,31582,131396,20096,185029,185070,423007,543725,13659,7756,25054,770965,7719,21201,27608,38376,1250887,4590,103456,769312,5614,1019768,133997,10827,270629,160319,20025,32148,16627,1335216,2309827,53282,23462,34779,18514,2105,287596,29114,697846,6465930,11909,18321
3574,low,LANMLR17B021,240401,15235,33884,13528,24645,296961,55079,28460,18428,167922,24700,18048,131973,363267,384513,304610,6543,16614,101767,815125,42709,52122,11610,116606,13662,38685,115327,233598,34055,182803,64413,134407,303620,161100,15205,145563,1522429,742558,17357,52,33854,295689,1337718,62564,12304,61732,184237,53906,61924,475260,62907,57858,130973,16730,23148,30085,92332,8972,564061,2949497,54851,10653,91543,23258,576182,431596,522901,2617027,21747,2834041,45258,932881,22364,35488,77014,30941,68877,581831,22839,136187,23475,116819,204045,362309,1360748,10294,12715,17797,681219,49459,21593,18996,19868,2212235,13095,157617,1047555,18174,1322119,121096,5763,251971,101869,14249,25144,8920,572948,929354,21478,7651,11055,13515,1994,89304,7622,127511,1080803,6761,15921
3575,low,LANMLR17B018,409573,16643,35221,7881,10902,145291,135458,4263,6147,90972,16416,3425,67958,170219,259385,79300,3162,5441,93846,372443,18573,30992,6850,11713,6819,30455,106045,93086,6295,96785,57623,85483,242746,64184,9696,231962,2598589,1211450,29795,6754,16050,104886,2180063,50058,17310,41206,46411,15417,57103,669644,46244,14301,63782,25850,29123,28126,27185,11297,601585,3817595,34650,9096,59176,7777,349743,264133,88725,2843951,21861,4201751,105228,1373715,14510,33470,59796,6735,93365,311452,7034,83145,13953,36363,106355,111897,530973,15717,16360,10059,542737,30906,19688,13041,20992,2258501,9727,84121,348973,15235,1071117,33685,9323,403474,140025,19227,37277,4482,554970,852005,16914,7010,9765,20109,3203,79099,7966,165948,796918,8338,11018
3576,low,LANMLR17B043,157716,41839,28678,28438,24067,268369,57544,25761,19900,146044,20006,10689,108652,210580,97634,255516,5808,12684,61609,449153,33756,41750,9260,99129,9742,30081,97150,201349,27600,132490,46661,109286,272470,60289,8208,85525,1142359,479859,42833,11061,16421,177127,945183,43918,36484,32132,150756,42287,58622,284386,35897,36659,67853,45413,24447,38478,103432,6383,699457,4013852,54822,9429,77531,42253,865970,482447,688048,2881881,17129,4058558,50517,1109667,23131,35635,72693,21060,2528,464785,8532,100548,15643,212140,387162,457071,1339310,29583,10506,13780,622104,43987,17124,31029,49147,1500582,8726,147970,1130128,10894,1142085,128969,3938,207976,84588,11604,18276,2844,696546,999011,18598,6910,12268,23737,1639,100166,9237,175322,1806307,4628,13146
3577,low,LANMLR17B113,284633,8770,38480,11139,30482,323113,52711,18804,25134,134076,17691,11002,99138,286612,225422,250080,6105,13579,85729,763170,30358,45864,8756,100261,10945,29209,110722,222799,19041,113096,72876,168434,381531,76104,12220,180710,2839557,746034,52728,15486,16194,221592,1253313,48524,10750,46085,122998,49992,72982,506970,42875,27843,67126,17781,22498,24883,80905,8380,509396,2841596,40232,10106,84186,19390,392917,395824,278135,2227301,16158,3063270,36310,851123,19786,26484,51927,18048,52454,409895,11331,86297,14305,200372,196560,357090,985759,16263,12818,23062,822258,30323,13805,14060,18881,2299372,8998,126103,746945,13009,1419087,110367,12685,238830,119222,16004,26583,8979,905610,1313164,27159,12964,17658,12772,1916,130684,8782,194263,1195293,6996,26810
3578,low,LANMLR17B023,233345,17672,30321,8316,32290,289292,70518,26308,22482,118170,17143,16287,113038,253334,159238,278383,6664,10264,78607,639879,40755,45481,12645,122188,10708,34965,110665,240709,14198,110878,63116,109693,287449,86662,13286,171485,2585700,1013973,74494,21749,18060,306404,1136201,58460,41196,48024,126498,53422,38968,264552,46464,25551,69885,17294,26901,44660,96526,11592,830098,2768650,62577,11034,105685,45208,766154,755297,588243,2494684,12839,2136355,40622,792672,25309,32496,62509,24245,48705,718871,16921,134566,18242,152063,254612,361708,1398814,15486,16531,16683,693100,29900,16329,13196,16869,2233607,11530,176238,862954,12548,1162741,126109,8321,213271,90070,16187,30617,8240,820698,1175626,19568,8992,11569,11810,1588,118003,11616,222505,1528934,4880,25744
3580,low,LANMLR17B108,314800,14318,37386,14169,17515,311540,72028,18197,21069,136706,24215,8856,93054,268822,262784,257475,6952,11711,79740,717288,35271,50024,9061,88996,9803,30535,104435,214235,14979,112798,72712,167260,327542,80768,13253,178379,2883366,1070949,35308,11240,13871,186768,1402696,57357,11745,46599,142978,46539,51804,417356,47626,23331,75118,21459,18867,30417,72684,8342,508803,3192495,43880,9381,88763,18566,433198,348130,393780,2532483,20792,2890037,53541,940174,21199,26675,52712,18785,57585,351722,11682,80088,14254,178268,232227,332525,1214883,15475,13382,19913,701239,30081,23176,17796,23700,2753727,14154,173361,860304,14267,1084707,111313,6448,262421,109707,15680,27143,8810,540519,847398,19140,8334,11695,17587,2143,88344,8408,123483,1016678,6847,25997
3581,low,LANMLR17B044,253334,18006,34668,22496,26288,304681,80367,28024,18890,155426,17991,10476,106772,248666,267104,349477,7197,10656,86582,637154,38929,53467,10754,79259,9251,32253,80615,201058,18649,147901,71403,162472,310368,81599,12188,165068,2821653,1173139,77351,32936,26191,193066,1325540,57410,10318,38145,149583,52173,93601,607068,51927,34627,97467,18812,21034,29122,46246,7209,496370,2995561,52761,7974,65973,14202,355792,358004,342154,2452994,20874,2116558,46819,834392,18932,26866,59484,19139,54783,603243,17687,131254,23280,145392,182598,398972,1239493,11968,8726,17620,745059,25982,21641,24618,35912,1212283,17880,134421,878939,17298,1329449,72200,6631,249206,113017,15785,28248,8397,751114,1316209,28812,8097,11539,13381,1873,90552,9334,140233,1786138,6215,29286
3582,low,LANMLR17B142,201551,14412,28027,13022,33011,292754,43470,25843,24986,121877,14193,14340,105105,209527,147810,237455,5935,9539,73053,441792,42452,47739,12520,132594,9994,35848,93809,200999,19760,149081,45934,113535,258744,66271,11557,149784,2375330,899396,70197,21511,18829,185860,1107836,38950,59329,46363,157491,56729,41752,244866,52246,32054,101454,14633,25212,41767,105858,10892,756373,2682911,49380,11817,111747,46783,856426,788069,644045,2444779,15896,3072013,34043,773623,24616,48280,84171,27272,48928,879373,22520,205421,27010,161881,287935,441451,1429641,13352,19713,15384,545491,26508,19083,12361,22473,1963732,13518,185499,944424,17647,994131,80242,5418,222521,85306,14544,21068,29455,770061,834439,18397,7615,9915,28362,10796,431023,14839,376201,1570212,10459,26982
3584,low,LANMLR17B112,247042,20896,33576,15799,21350,277557,76963,35076,19398,163853,19181,11852,111142,254061,198682,253304,7677,11280,82946,507365,39097,48472,9165,85376,8815,29070,87354,208865,14529,121687,60743,169275,299756,85438,13005,174047,2546841,1050558,32464,14504,16982,174230,1258225,56837,40113,34070,133638,42100,73257,387685,46775,25228,83819,21201,26248,34770,98276,7252,758136,2978924,53688,10800,99090,32911,542382,604012,681301,2591435,21034,3089774,53786,858708,19836,32669,64326,16437,55726,463193,14238,99238,19913,130963,220759,392601,1213961,17879,13138,17735,613799,30314,20261,11328,27429,2124822,15805,161830,826928,15076,1089019,73472,7097,236255,111299,15058,27198,5537,640904,1115098,27529,8727,12199,13656,1635,85327,8461,140004,1357799,6341,21676
3585,low,LANMLR17B007,251883,19163,31629,13953,22990,303946,78000,14808,22043,104846,15737,12500,93936,219777,141147,215884,6167,12296,72228,635246,32526,39569,8487,84812,10117,27539,97978,185948,15051,98301,60975,147070,283711,114756,15893,166888,2879108,1027919,48589,13753,13387,202346,1263717,44579,35152,42318,110809,39149,67757,401871,41609,26106,62820,19278,23726,32047,96236,7562,599015,3034959,41248,9234,102158,22561,507902,472486,380073,2689284,9832,3419687,50757,849397,19455,28504,61885,15217,58171,412999,10770,82487,13310,208988,248950,388503,1125159,16500,14038,16969,602648,28480,19832,11059,25001,2321139,10848,122153,592368,12124,988283,86650,5579,239104,105477,15845,29339,7249,787368,1198710,22606,9395,12367,15236,1738,98170,9938,147907,1373630,6237,23267
3586,low,LANMLR17B119,264251,14471,32801,17153,9674,305774,85099,13899,19128,138391,14773,10614,105856,252386,196740,376322,7844,9070,78056,790750,36184,54154,10674,105719,8696,27174,111972,193338,14868,96579,64513,111005,213150,101502,16984,167746,2786625,1378319,69207,30988,17580,282147,1206435,49805,9353,41480,127237,46728,44341,401580,42930,24445,57524,17679,22347,32311,51884,13461,578394,2960788,50382,9829,93118,24434,500517,450017,499633,2458172,18925,2610656,39617,810954,18847,28386,53988,15995,50859,489867,14409,115931,22679,148634,226322,447172,1195553,14022,13062,19616,615045,24827,20209,12093,27709,2357496,17451,171306,938115,12440,1123083,114245,5507,227479,103956,14351,25513,7847,574910,963867,21869,8057,11091,17554,1688,89286,9150,129942,1523660,6401,36230
3587,low,LANMLR17B077,218176,14645,34349,11391,22220,356036,47479,33054,13307,158726,18257,15272,120414,277321,427647,284747,6667,15613,91392,742872,47054,59020,11769,133715,11371,40097,105432,256900,21150,167855,59815,135670,304721,97452,8356,127458,1281587,634389,12837,2212,26411,307182,1246969,63337,67940,55519,197139,58473,50876,478107,72578,38868,124294,14228,22506,27794,93420,6811,601082,2719071,58127,9263,81946,20413,460978,456856,470106,2480257,20386,3393774,45946,886904,18211,29282,56779,35387,52926,686086,20396,172376,28720,148167,286362,361509,1601292,10639,8474,15028,713266,32785,20176,10270,18928,2378633,14067,189433,1137811,16159,1169568,102825,10824,237572,125701,15579,25828,9323,649428,997698,21494,8693,11677,13355,1705,89679,8373,125242,980705,7190,15457
3589,low,LANMLR17B111,240875,14434,31873,3422,28450,281259,55664,41512,27189,121757,15998,16258,131591,251936,229967,251235,5713,9264,82812,782595,30456,39016,11291,101496,10730,30905,142347,211501,20922,105632,69803,127981,206315,82586,18294,189621,2684871,1072598,67182,20846,19543,286548,1157897,46733,39030,40638,151632,63289,38829,251199,39986,27635,66510,17559,15930,37400,96670,11218,635619,2779979,42671,11012,99721,44030,803542,564011,540425,2494156,20110,3168497,35985,780538,28766,31063,56823,21504,48954,454301,16005,91278,14315,126349,181094,469753,1187804,14938,12637,15499,756906,25791,19635,12848,24552,2277469,15262,190944,1097413,13671,1125668,170958,9167,216570,85050,13845,23895,7427,634149,881502,18618,8737,10763,12172,1633,112982,13129,166855,1432266,5096,22868
3590,low,LANMLR17B048,320179,16455,31784,11409,23702,295430,61406,34173,21482,100675,16360,9961,89225,260840,229185,278428,5999,10400,91202,617328,33433,52118,9858,69805,10719,30167,103705,214893,16486,108021,61358,80603,286338,110656,17555,305565,2861721,704282,120826,33871,15987,214625,1185155,59522,35791,47309,127678,57935,46868,443891,42515,26128,73726,16895,23066,30818,84567,12856,865597,2659482,56623,11585,91679,47697,526235,736656,437233,2461192,18474,3163719,41297,797060,22151,33135,57415,16131,55162,538333,15005,120254,20683,163568,262740,380529,1331542,15211,14259,19525,717526,23577,19347,11946,18317,2281094,15689,38980,726931,13084,998536,125737,5649,224451,102573,14663,23680,9381,732993,1053970,21810,8472,9330,10645,1411,99080,9004,223134,1046015,6074,13056
3591,low,LANMLR17B095,230330,23303,30159,14701,20792,273810,45837,26439,15726,133974,12948,11399,89121,201888,153306,294385,8012,8322,97388,1042223,35891,44457,10721,66704,11629,27372,151347,293786,39778,111692,65465,129747,273006,99524,11389,163945,2348866,842125,30190,8753,21879,335639,1237659,51805,9936,32627,144229,54319,61142,444060,40454,41718,70881,18486,33026,39326,49207,16131,957888,2875667,60006,10693,90798,40219,733995,679657,631813,2562769,19426,1822954,50231,838909,25937,35347,72842,15315,69905,413232,14076,87805,16305,111211,204036,425120,764485,15343,8640,16497,585492,30440,17000,15828,23689,2138287,9644,147487,1051397,12296,1038287,160924,5853,242250,152932,16988,28206,12004,993443,1436279,32192,9825,13305,12372,1597,127733,14300,199312,1451104,8068,22703
3592,low,LANMLR17B134,226626,12936,30783,14211,24049,339500,123088,29471,18371,120021,15194,6568,71598,254592,206710,385767,7757,8581,90509,694615,43832,45865,11945,95112,9038,31739,88340,226195,17059,132086,61794,142601,273319,77863,12878,180847,2844873,1161906,105444,44568,19683,196596,1208820,56238,51442,40457,135636,21272,52806,242522,43966,23961,78759,14568,22612,33246,49570,7139,602122,2988477,52134,8775,82946,26764,399970,494984,423373,2254829,17541,2428445,41101,822025,21273,28391,54222,17091,55739,649764,18917,151720,32126,147592,186108,416220,1171770,8846,13879,17528,678934,20171,19993,18290,20674,2405098,12956,177936,837287,15625,1788230,85709,5397,228516,113135,15548,28353,7919,757917,1269553,30158,8433,12000,19699,1837,86718,8840,164593,1409631,6616,11887
3593,low,LANMLR17B019,369716,106683,24114,4364,11177,318470,76530,24879,14740,126335,16883,7932,79958,139398,136328,152096,10451,15301,75677,431763,20441,42445,2938,64044,3449,38465,111852,160941,17673,108827,65972,102367,212711,301551,28527,198551,1926184,862781,122580,36904,15721,146610,603271,47468,14372,12655,79705,33045,51923,419990,28764,30714,50067,141052,27858,33221,73443,10398,762985,2899192,47190,9002,91869,38624,687918,536055,505172,2949730,19428,3288279,67668,1121811,18896,49673,71540,14005,8563,517333,8634,117448,29067,204463,274186,629208,1388694,76142,6630,11741,431465,91408,26142,18037,15965,2166042,12812,128699,1350010,13272,1176284,196445,5589,375987,96682,12168,23050,3274,619024,801607,8241,10554,11328,19475,3045,92667,5850,141906,1097514,8323,22752
2058,high,LANMLR17B058,491628,2562,55512,26825,13614,476861,175262,37528,39980,102394,13577,1922,64294,189188,238144,347375,9130,11028,87837,1119003,29135,41658,5601,70183,17991,36199,152641,268356,24674,117131,97745,386429,471084,146229,15079,228555,2375684,794487,65832,17961,21643,209398,1335874,52836,2647,40641,126039,43200,53517,634070,26703,36327,65692,28694,29034,19574,122295,24337,714028,1347014,43829,8869,94390,84789,431874,282819,326591,1681612,48438,1657556,34311,335357,13509,28347,56260,23914,86745,224109,11377,26042,6394,178451,221418,526642,1059833,20111,11230,30431,1081411,28767,29272,23232,25433,3824503,20913,218632,1058748,16876,1978522,156536,13871,293651,93149,5807,9918,12325,626559,907828,9104,11218,9438,20972,2936,110280,13713,135336,1132080,8906,18073
2059,high,LANMLR17B023,337618,20197,35866,26790,6379,388336,111073,19795,17860,81334,20890,3161,55934,178105,173663,397529,10959,12808,81625,788391,43037,58775,14657,244019,13567,42889,107038,321933,20471,175349,65945,168866,310413,105922,7236,139687,1445719,567879,49253,14708,21503,276918,1626234,68206,45318,68737,155895,52706,94015,407214,19094,31990,110380,36109,17544,28068,51982,11834,607001,2271640,52081,7671,101724,26535,466054,520134,386497,2853922,31167,3444229,32484,1091248,18356,27259,52822,27019,64361,429496,11020,105018,16748,156311,236682,391285,1220237,15712,14055,22413,735273,46687,23679,33086,25721,3188043,17526,227741,907733,15941,2012390,126030,5971,224639,67775,3793,2353,8153,393380,600394,5193,7566,8068,13287,2113,69173,8595,79993,576766,5780,13619
2061,high,LANMLR17B144,398274,10893,42689,11443,7510,454288,89155,9652,13748,103294,18464,7277,78311,181731,221516,280316,6149,13602,121328,1429314,34966,67550,13034,61007,19832,37575,146509,420725,14888,159151,78597,208575,356746,78060,12576,172599,1608567,890105,26944,6982,23741,290876,1660865,61252,41453,53291,102406,32949,70299,607613,52153,28375,107468,17258,26887,27936,31110,8562,533117,1927821,44489,8908,99915,8298,294741,343382,89982,1823319,8027,2632345,33210,1098569,16566,33043,63170,14261,73484,274544,13854,75125,10180,61743,128153,154535,1006609,12362,18993,31234,782989,32937,26210,15337,18000,4649373,21023,250347,730641,29696,1971494,102246,7130,309122,120125,15336,29105,3169,656764,761968,25079,7865,7056,13553,1963,41810,4685,217767,308888,7295,77353
2062,high,LANMLR17B072,810173,5312,53598,25681,10701,450953,124510,21991,32277,110615,23052,3146,71421,220951,316365,374874,8304,2237,71586,666388,34581,67566,12866,146323,14308,40709,115833,256773,23013,169410,92173,177278,446193,131650,7770,188583,1987457,733279,58295,16152,17478,169570,1480387,65326,2380,61096,148702,39292,72466,815490,56372,39964,127918,25394,13733,16927,139673,11765,511679,1382000,52085,6632,91398,38375,360215,214490,294763,1227631,31684,1586471,30026,327802,11496,26658,56557,21193,98169,204638,10291,32701,1791,162496,240045,422870,1416605,19007,17501,32901,1033629,34444,26491,33428,22734,4127701,29632,316458,937555,28663,2281892,146390,12321,276916,101950,4189,4114,10712,582350,957152,11482,10212,8471,15315,2640,99849,12161,123033,1081211,7616,15598
2063,high,LANMLR17B048,386483,4428,45222,19341,18348,305454,148895,26663,43215,117160,23889,10065,113434,355978,358025,258499,5876,12825,64866,550620,36151,72662,11141,80381,12624,32912,89637,243647,16962,103796,72948,286851,385155,102191,23164,300956,3794387,970538,50830,15639,14459,145357,1141392,63020,27124,42565,113016,14664,53547,615158,42432,31081,69358,18255,22809,17089,97129,9310,531382,1642879,47426,10845,85620,40327,362571,425938,332139,1650180,33467,2094417,30196,465214,17043,24105,43989,21889,60713,279239,13579,60218,11789,133582,213378,379672,1213266,13894,11125,27356,852185,27957,23109,14647,16720,3160828,23522,201365,941417,16117,1436753,149673,12829,255418,97247,12679,15121,12346,748748,1119945,25876,13797,13186,16748,1888,136760,15006,212509,1366255,11892,12011
2064,high,LANMLR17B056,675518,21148,41259,18717,22918,385078,77492,22940,17632,128165,22568,8565,97134,297627,260415,330978,13944,13198,139360,2013014,34752,56996,10777,70098,8487,29063,227018,550479,24855,99211,63428,254436,370786,123255,11655,198211,2040570,816063,49741,15115,30314,349292,1764579,64045,19433,48549,165720,56836,44621,469731,29813,30003,65418,27461,20601,19111,89911,9235,598004,1781230,43307,7439,83677,54316,436281,310254,367206,1480235,31681,1581266,36371,277350,11873,25898,49101,15812,72543,150470,372,5611,3335,141208,239051,363429,1078575,24374,10508,25530,859295,34853,23432,21686,2103,3521921,22749,230807,859472,13143,1928023,136206,14091,336290,159718,13691,16245,10070,754922,1156351,34127,15604,12928,17146,2471,132493,13289,197943,914290,13865,15600
2065,high,LANMLR17B064,238133,25420,34480,13790,6780,296014,27811,21701,17842,61521,16847,3827,39612,123698,134150,264719,8950,13994,157708,1070754,41882,60235,12358,115120,15089,43957,176700,372328,21668,187148,59081,135522,309836,100536,17659,113794,1106311,481950,37306,12287,38360,361386,1513241,62341,36560,66719,202214,78946,62871,458944,48382,32658,94555,44536,26311,34495,106236,7863,857194,2982161,65191,10931,115836,44973,771551,727643,578188,3182478,22136,3813454,43306,771044,21663,47841,83084,24519,55958,278319,7606,56624,8605,157210,234392,351830,1389755,19658,16918,18009,735599,48663,19640,13390,10835,2536407,10764,198948,1025296,17294,1189814,122546,5405,217904,61426,4537,3202,9847,367152,532492,6193,7398,8222,9969,1905,71029,7218,85788,447604,5752,12774
